Domain,Days,Organization Name,Status
abf.com.br,319,"Cloudflare, Inc.",🆗
abfeducacao.com.br,74,Let's Encrypt,🆗
aliancafrancesa.com.br,70,Let's Encrypt,🆗
apiki.com,30,Let's Encrypt,⚠️
beepsaude.com.br,162,Amazon,🆗
blockmaster.com.br,33,Let's Encrypt,🆗
blog.aegro.com.br,148,Amazon,🆗
blog.culturainglesa.com.br,36,Let's Encrypt,🆗
blog.desincha.com.br,294,"Cloudflare, Inc.",🆗
blog.konduto.com,51,Let's Encrypt,🆗
blog.solides.com.br,60,Let's Encrypt,🆗
blog.synchro.com.br,32,Let's Encrypt,🆗
blog.vindi.com.br,65,Let's Encrypt,🆗
blog.wpensar.com.br,10,Let's Encrypt,⚠️
br.doctorlotto.com,334,DigiCert Inc,🆗
carinhoecogreen.com.br,65,Let's Encrypt,🆗
cbr.org.br,261,Arizona,🆗
cesar.school,74,Let's Encrypt,🆗
clientes.fabbricaweb.com.br,300,"Cloudflare, Inc.",🆗
comidinhasdochef.com,53,Let's Encrypt,🆗
conexaoparis.com.br,329,Amazon,🆗
conteudo.movidesk.com,29,Let's Encrypt,⚠️
copapa.com.br,23,Let's Encrypt,⚠️
culturainglesa.com.br,36,Let's Encrypt,🆗
cultural.culturainglesa.com.br,36,Let's Encrypt,🆗
cursospm3.com.br,86,Let's Encrypt,🆗
diariodopeixe.com.br,77,ZeroSSL,🆗
digitalks.com.br,57,Let's Encrypt,🆗
digitalks.pt,33,Let's Encrypt,🆗
dinder.com.br,64,Let's Encrypt,🆗
distrito.me,146,"Cloudflare, Inc.",🆗
drd.com.br,77,Let's Encrypt,🆗
ebradi.com.br,230,Riga,🆗
ecommercebrasil.com.br,48,Let's Encrypt,🆗
econcursosonline.com.br,231,Riga,🆗
e-core.com,305,"Cloudflare, Inc.",🆗
educationusa.org.br,58,Let's Encrypt,🆗
elekeiroz.com.br,37,Let's Encrypt,🆗
endeavor.org.br,260,Amazon,🆗
engepred.com.br,14,Let's Encrypt,⚠️
esecom.com.br,79,Let's Encrypt,🆗
esg.klabin.com.br,68,Let's Encrypt,🆗
faculdadeculturainglesa.com.br,72,Let's Encrypt,🆗
feira.tangerina.uol.com.br,218,"Cloudflare, Inc.",🆗
gestao.galiciaeducacao.com.br,189,"Cloudflare, Inc.",🆗
highcompanybr.com,290,Amazon,🆗
hsmuniversity.com.br,121,Greater Manchester,🆗
imasters.com.br,84,Let's Encrypt,🆗
insper.com.br,0,❌,❌
inspirali.com,185,Riga,🆗
institutoanimaeducacao.org.br,33,Greater Manchester,🆗
intelipost.com.br,30,Let's Encrypt,⚠️
ion-multistore.com.br,87,TX,🆗
itadecoracoes.com.br,77,Let's Encrypt,🆗
king.host,301,DigiCert Inc,🆗
konduto.com,51,Let's Encrypt,🆗
loggi.com,103,GlobalSign nv-sa,🆗
lowcost.com.br,354,Arizona,🆗
lucianapepino.com.br,67,Arizona,🆗
luminae.com.br,63,Let's Encrypt,🆗
maisbrasil.news,51,Let's Encrypt,🆗
mercadodaretifica.com.br,38,Let's Encrypt,🆗
midfalconi.com,0,❌,❌
movimentodesaprenda.com.br,0,❌,❌
nano.ages.edu.br,30,Let's Encrypt,⚠️
nano.una.br,30,Let's Encrypt,⚠️
nano.unibh.br,30,Let's Encrypt,⚠️
nano.unicuritiba.com.br,37,Let's Encrypt,🆗
nano.unisociesc.com.br,30,Let's Encrypt,⚠️
nano.usjt.br,30,Let's Encrypt,⚠️
necton.com.br,296,DigiCert Inc,🆗
plan.org.br,88,Let's Encrypt,🆗
podcast.vindi.com.br,72,Let's Encrypt,🆗
portaldofranchising.com.br,314,"Cloudflare, Inc.",🆗
pve.institutovotorantim.org.br,23,Let's Encrypt,⚠️
querodobra.com.br,14,Let's Encrypt,⚠️
redehg.com.br,79,Let's Encrypt,🆗
revalideii.com.br,28,Let's Encrypt,⚠️
revista.icasei.com.br,283,DigiCert Inc,🆗
revista.zapimoveis.com.br,45,Let's Encrypt,🆗
rhportal.com.br,72,Let's Encrypt,🆗
showlivreplay.com,322,Amazon,🆗
sol-m.com,253,Amazon,🆗
startupi.com.br,60,Let's Encrypt,🆗
sumicity.com.br,101,Greater Manchester,🆗
synchro.com.br,32,Let's Encrypt,🆗
tangerina.uol.com.br,217,"Cloudflare, Inc.",🆗
trisqi.com.br,313,"Cloudflare, Inc.",🆗
uauingleza.com.br,266,Arizona,🆗
uaulimpeza.com.br,393,Arizona,🆗
ultragazempresas.com.br,84,Let's Encrypt,🆗
universidade.solides.com.br,60,Let's Encrypt,🆗
vagas.com.br,2,Arizona,⚠️
veromobili.com,0,❌,❌
veromobili.com.br,29,Let's Encrypt,⚠️
vivescer.org.br,200,Arizona,🆗
wpensar.com.br,51,Let's Encrypt,🆗
